ground_truth,prediction,score
-1,-1,-0.19527808941053282
-1,-1,-0.22303255254995058
-1,-1,-0.1320997822257607
-1,-1,-0.08910936057346408
-1,-1,-0.09265591871535472
-1,-1,-0.1006509302915628
-1,-1,-0.17455439570600617
-1,-1,-0.1464014072287403
-1,-1,-0.0603686415497095
-1,-1,-0.05676161869004254
-1,-1,-0.1901498658573465
-1,-1,-0.16182560790832567
-1,-1,-0.030159732857524435
-1,-1,-0.05964746868677284
-1,-1,-0.05918103277954251
-1,-1,-0.08796720700834437
-1,-1,-0.22497030603581014
-1,-1,-0.1628423499599575
1,1,0.0874742415763557
1,1,0.08905743166905628
1,1,0.0902752026414278
-1,-1,-0.018873573154934598
-1,-1,-0.06618579223680832
-1,-1,-0.08564371497329504
-1,-1,-0.05368630481018727
1,1,0.09054726745245228
1,1,0.08895037583992282
1,1,0.09021255552382396
-1,-1,-0.06210390616693018
-1,-1,-0.06180993125071599
1,1,0.08960290265413762
1,1,0.0854459261158752
-1,-1,-0.058054518620888784
-1,-1,-0.16454530918540966
-1,-1,-0.20519677890200494
-1,-1,-0.23304950734594787
-1,-1,-0.21406432714402523
-1,-1,-0.14585265429963246
-1,-1,-0.2416591629828867
-1,-1,-0.23817038652685274
-1,-1,-0.12383998595607293
1,1,0.08981059571158317
1,1,0.09051306420856048
1,1,0.0890761243951878
-1,-1,-0.021848585273858245
-1,-1,-0.059439745458076176
-1,-1,-0.07399796384811619
-1,-1,-0.1849735561709528
-1,-1,-0.18568649358794986
-1,-1,-0.037157920111436316
1,1,0.08733317101999227
-1,-1,-0.10988565107094972
-1,-1,-0.1955674940523513
-1,-1,-0.19893386116151812
-1,-1,-0.19150662779431116
-1,-1,-0.1752492017899443
-1,-1,-0.1210345656859303
1,1,0.09048879597037013
-1,-1,-0.16212035162099936
-1,-1,-0.16199974791748661
-1,-1,-0.12337194125426476
-1,-1,-0.12036146974705075
1,1,0.08629015543383028
1,1,0.07669978922431897
1,1,0.08238708774619102
-1,-1,-0.036891164259941045
-1,-1,-0.12124510455065984
-1,-1,-0.1889415965352771
-1,-1,-0.16587958176548634
-1,-1,-0.09395348656411773
1,1,0.08889019160026995
1,1,0.08967935449932252
-1,-1,-0.1060199469328238
-1,-1,-0.14820966002526004
-1,-1,-0.212946380064571
-1,-1,-0.21225551128269315
-1,-1,-0.08658695117025461
-1,-1,-0.16283328021803678
-1,-1,-0.20350984778437775
-1,-1,-0.19166826166040074
-1,-1,-0.1664595601061729
-1,-1,-0.08033469762221612
1,1,0.090067364990839
-1,-1,-0.12104659460132394
-1,-1,-0.19876768327700045
-1,-1,-0.14505760864708594
-1,-1,-0.1458506203481149
-1,-1,-0.2425782995528064
-1,-1,-0.238890768291096
-1,-1,-0.06660166718656813
-1,-1,-0.062063812983095434
-1,-1,-0.060531809405321046
1,1,0.09010671669474524
1,1,0.08974565896077619
1,1,0.08982697203163698
1,1,0.08942373806503034
-1,-1,-0.203435478331357
-1,-1,-0.22918267608489962
-1,-1,-0.14327814475653133
-1,-1,-0.034576587513961254
-1,-1,-0.1211598706935656
-1,-1,-0.06794653962380559
-1,-1,-0.045573214947276564
-1,-1,-0.07321937461869177
-1,-1,-0.1627341582520626
-1,-1,-0.23609669413453882
-1,-1,-0.19999850560927868
-1,-1,-0.22246206420751313
-1,-1,-0.21115484849875876
-1,-1,-0.22927397773651337
-1,-1,-0.2290790942197204
-1,-1,-0.22267679062546464
-1,-1,-0.17213224915579517
1,1,0.0885926877915586
-1,-1,-0.06859963909763966
-1,-1,-0.07067203400137934
-1,-1,-0.12568556437979206
-1,-1,-0.1236336124504448
1,1,0.0835819979163352
1,1,0.08660339175778065
-1,-1,-0.1623236304618183
-1,-1,-0.16047685613743046
-1,-1,-0.20839178030335626
-1,-1,-0.21027944791896303
-1,-1,-0.16256925369256814
-1,-1,-0.2207055608855366
-1,-1,-0.06593909204711146
1,1,0.08426945966444366
1,1,0.08583513516699487
-1,-1,-0.17492570507983962
-1,-1,-0.2392786821691919
-1,-1,-0.1716285993527329
-1,-1,-0.1979265503742701
-1,-1,-0.20552838842725818
-1,-1,-0.021399558823330833
1,1,0.0882790856022953
1,1,0.08923695501269063
1,1,0.08951251380674519
-1,-1,-0.11105539728563263
-1,-1,-0.22313180772283026
-1,-1,-0.2246520826463414
-1,-1,-0.18736054182566653
-1,-1,-0.14317472391555874
-1,-1,-0.17495673410927026
-1,-1,-0.21255500577291964
-1,-1,-0.16674501219203486
-1,-1,-0.0652067462985369
-1,-1,-0.06042106760117566
-1,-1,-0.09344963539491169
-1,-1,-0.05980574858264065
1,1,0.08756294086227429
-1,-1,-0.06834532655617787
-1,-1,-0.06689114416537945
-1,-1,-0.16052175522981715
-1,-1,-0.2192613580080457
-1,-1,-0.07233751610490236
-1,-1,-0.1640802726735643
-1,-1,-0.15209562828923961
-1,-1,-0.12216585495550025
-1,-1,-0.17612488221580425
-1,-1,-0.1919474359128749
-1,-1,-0.1701087016466598
1,1,0.08666712431851764
1,1,0.08692097027321877
-1,-1,-0.047263461521407646
-1,-1,-0.09495068453512545
-1,-1,-0.17114109181786585
-1,-1,-0.09174373337188857
-1,-1,-0.06829073918142026
-1,-1,-0.05372276738319276
-1,-1,-0.16267277584134598
-1,-1,-0.20451875892472837
-1,-1,-0.18043515950870348
-1,-1,-0.05719705359158245
1,1,0.09032769111883426
1,1,0.08918523930048211
1,1,0.08757257119746847
-1,-1,-0.03953851684531401
-1,-1,-0.18678067316448077
-1,-1,-0.21800746173928565
-1,-1,-0.22649687878314329
-1,-1,-0.22098207675976367
-1,-1,-0.20481729297566864
-1,-1,-0.1600049493100797
-1,1,0.0021504374421619232
1,1,0.09080270183323641
-1,-1,-0.18286448538804678
-1,-1,-0.18318718030726888
-1,-1,-0.06465015283805925
-1,-1,-0.08727185103720281
-1,-1,-0.1211598706935656
-1,-1,-0.06834101530187486
-1,-1,-0.08611595268249683
-1,-1,-0.17729141319906283
-1,-1,-0.20194951879074674
-1,-1,-0.23062038247629346
-1,-1,-0.2396229950964811
-1,-1,-0.10655061114900688
-1,-1,-0.06704019541443595
1,1,0.08925646423537809
-1,-1,-0.06998031179687414
-1,-1,-0.06871583492624167
-1,-1,-0.2111986818690602
-1,-1,-0.23003906717505396
-1,-1,-0.23338808147444767
-1,-1,-0.23701172848954277
-1,-1,-0.14453598632383358
1,1,0.08745418876396904
-1,-1,-0.047990912860523205
-1,-1,-0.18014273992355856
-1,-1,-0.20573946418942968
-1,-1,-0.1218004927850671
-1,-1,-0.12242816469785445
-1,-1,-0.18922652370438375
-1,-1,-0.1221010170110215
1,1,0.08248253458299687
-1,-1,-0.05895693881456099
-1,-1,-0.08478994645637883
-1,-1,-0.05335716842583477
1,1,0.08793027512963825
1,1,0.08704028073402476
1,1,0.08901164348812335
-1,-1,-0.0642563362377887
-1,-1,-0.2212624841627031
-1,-1,-0.13668786212312356
-1,-1,-0.023611969608666183
1,1,0.08951370934130559
1,1,0.08838355003087606
1,1,0.0881079798839739
1,1,0.08779777081595519
-1,-1,-0.09211760691217596
-1,-1,-0.09525717311975757
-1,-1,-0.08722838701372526
-1,-1,-0.12099880717041933
-1,-1,-0.17599467590207785
-1,-1,-0.22340774685682396
-1,-1,-0.22825584000263754
-1,-1,-0.2135349631917004
-1,-1,-0.1962007748663015
-1,-1,-0.190459008930301
-1,-1,-0.22119477591355752
-1,-1,-0.09021016174938867
-1,-1,-0.12219263499220512
-1,-1,-0.12165349300364625
-1,-1,-0.07699297095496893
-1,-1,-0.1655162955927093
-1,-1,-0.16396091844259653
-1,-1,-0.2258191481350058
-1,-1,-0.208345862411494
-1,-1,-0.11164879520363624
1,1,0.0789468822288299
-1,-1,-0.04090361626697936
-1,-1,-0.06640045488659119
-1,-1,-0.10279375233315624
-1,-1,-0.09753500393034154
-1,-1,-0.07236940766243039
-1,-1,-0.04428719328718872
-1,-1,-0.06328393263725657
-1,-1,-0.0756775364833524
-1,-1,-0.2046448933935704
-1,-1,-0.22432381492836206
-1,-1,-0.16227350415286057
-1,-1,-0.11862080077606607
1,1,0.08905058929468429
-1,-1,-0.06115858811583147
-1,-1,-0.06721999441821858
-1,-1,-0.17873103397686962
-1,-1,-0.21540475519412106
